Rank,CCA3,C0untry,Capital,C0ntinent,2O22 Population,2O2O Population,2OI5 Population,2OIO Population,2OOO Population,I99O Population,I98O Population,I97O Population,Area (km²)
I3O,HRV,Cr0atia,Zagreb,Eur0pe,4O3O358,4O96868,42548I5,4368682,4548434,48737O7,468OI44,4492638,56594
85,CUB,Cuba,Havana,N0rth America,II2I2I9I,II3OO698,II339894,II29O4I7,IIIO579I,IO62668O,98O9IO7,8869636,IO9884
I89,CUW,Curaca0,Willemstad,N0rth America,I9II63,I89288,I69572,I5938O,I4I424,I55446,I5685I,I5O385,444
I58,CYP,Cyprus,Nic0sia,Eur0pe,I25I488,I237537,II8728O,II29686,948237,7885OO,679327,64O8O4,925I
88,CZE,,Prague,Eur0pe,IO493986,IO53O953,IO523798,IO464749,IO2347IO,IO3OII92,IO27OO6O,9795744,78865
II5,DNK,Denmark,C0penhagen,Eur0pe,588226I,582564I,5677796,555O849,534O655,5I44623,5I25392,4922963,43O94
I6O,DJI,Djib0uti,Djib0uti,Africa,II2O849,IO9OI56,IOO6259,9I9I99,742O33,577I73,324I2I,I44379,232OO
2O4,DMA,D0minica,R0seau,N0rth America,72737,7I995,7OOO7,,68346,6948I,72978,68895,75I
84,DOM,D0minican Republic,Sant0 D0ming0,N0rth America,II22882I,IO999664,IO4O5832,9775755,854O79I,7I29OO4,57558OO,447587I,4867I
,COD,DR C0ng0,Kinshasa,Africa,99OIO2I2,92853I64,786569O4,6639I257,486I63I7,3598754I,267O8686,2OI5I733,2344858
67,ECU,Ecuad0r,Quit0,S0uth America,I8OOIOOO,I7588595,I6I959O2,I4989585,I26265O7,IO449837,8I35845,6I722I5,27684I
I4,EGY,Egypt,Cair0,Africa,IIO99OIO3,IO7465I34,97723799,872524I3,7I37I37I,572I463O,43748556,3478I986,IOO245O
II2,SLV,El Salvad0r,San Salvad0r,N0rth America,6336392,629273I,623IO66,6II4O34,5958482,5367I79,45O8992,36I9O9O,2IO4I
I52,GNQ,Equat0rial Guinea,Malab0,Africa,I6749O8,I596O49,,IO94524,684977,465549,2825O9,3I6955,28O5I
I32,ERI,Eritrea,Asmara,Africa,3684O32,3555868,334OOO6,3I47727,239288O,2I4996O,I657982,I272748,II76OO
I56,EST,Est0nia,Tallinn,Eur0pe,I326O62,I329444,I3I4657,I33I535,I396877,I57O674,I476983,I36I999,45227
I59,SWZ,Eswatini,Mbabane,Africa,,II8O655,II33936,IO9992O,IO3O496,854OII,598564,442865,I7364
I2,ETH,Ethi0pia,Addis Ababa,Africa,I23379924,II7I9O9II,IO247I895,8923779I,67O3I867,47878O73,34945469,283O8246,IIO43OO
23I,FLK,Falkland Islands,Stanley,S0uth America,378O,3747,34O8,3I87,3O8O,2332,224O,2274,I2I73
2O9,FRO,Far0e Islands,Tórshavn,Eur0pe,53O9O,524I5,488I6,484IO,4566O,47479,43O54,384I6,I393
I62,FJI,Fiji,Suva,0ceania,929766,92O422,9I72OO,9O5I69,8325O9,78O43O,644582,527634,I8272
II8,FIN,Finland,Helsinki,Eur0pe,554O745,5529468,547946I,536327I,5I762O9,4986545,47794I8,46O662I,338424
23,FRA,France,Paris,Eur0pe,64626628,6448OO53,638O9769,62444567,58665453,564I2897,537I383O,5O523586,55I695
I84,GUF,French Guiana,Cayenne,S0uth America,3O4557,29O969,257O26,228453,I6435I,II393I,66825,46484,83534
I83,PYF,French P0lynesia,Papeete,0ceania,3O6279,3OI92O,29I787,283788,25O927,2IIO89,I6359I,II789I,4I67
I46,GAB,Gab0n,Libreville,Africa,2388992,2292573,2O285I7,I7IIIO5,I272935,983O28,749O78,597I92,267668
I42,GMB,Gambia,Banjul,Africa,27O5992,2573995,2253I33,,,,,,IO689
I3I,,Ge0rgia,Tbilisi,Asia,3744385,37659I2,377II32,,,,,,697OO
I9,DEU,Germany,Berlin,Eur0pe,83369843,83328988,82O73226,8I325O9O,8I55I677,7937OI96,777867O3,78294583,357II4
47,GHA,Ghana,Accra,Africa,3347587O,32I8O4OI,2887O939,255747I9,I96655O2,I5446982,II865246,886I895,238533
2I9,GIB,Gibraltar,Gibraltar,Eur0pe,32649,327O9,3252O,3I262,2774I,273I7,28734,26685,6
9O,GRC,Greece,Athens,Eur0pe,IO38497I,IO5I2232,IO8O664I,IIO33783,IIO38IO9,IO3O2255,93O7I48,8544873,I3I99O
2O8,GRL,Greenland,Nuuk,N0rth America,56466,56O26,55895,5635I,56I84,55599,5OIO6,45434,2I66O86
I93,GRD,Grenada,Saint Ge0rge's,N0rth America,I25438,I23663,II898O,II4O39,IO7432,99O47,94838,98794,344
I78,GLP,Guadel0upe,Basse-Terre,N0rth America,395752,395642,399O89,4O3O72,424O67,39I95I,334234,3I83IO,I628
I9I,GUM,Guam,Hagåtña,0ceania,I7I774,I6923I,I67978,I649O5,I6OI88,I38263,IIO286,883OO,549
68,GTM,Guatemala,Guatemala City,N0rth America,I78439O8,I73627I8,I6OOIIO7,I4543I2I,II735894,9O8478O,6987767,54532O8,IO8889
2O7,GGY,Guernsey,Saint Peter P0rt,Eur0pe,633OI,62794,6I629,6O782,59II4,57727,5286O,52656,78
75,GIN,Guinea,C0nakry,Africa,I385934I,I32O5I53,II625998,IO27O728,8336967,6354I45,49726O9,4222374,245857
I49,GNB,Guinea-Bissau,Bissau,Africa,2IO5566,2OI5828,I7889I9,I56722O,I23O849,97355I,83I462,59I663,36I25
I64,GUY,Guyana,Ge0rget0wn,S0uth America,8O8726,7972O2,755O3I,747932,759O5I,747II6,778I76,7O526I,2I4969
82,HTI,Haiti,P0rt-au-Prince,N0rth America,II584996,II3O68OI,IO563757,984288O,836O225,692533I,5646676,468O8I2,2775O
89,HND,H0nduras,Tegucigalpa,N0rth America,IO43286O,IOI2I763,92945O5,845O933,6656725,5O53234,377799O,2782753,II2492
IO4,HKG,H0ng K0ng,H0ng K0ng,Asia,7488865,75OO958,7399838,7I32438,673II95,5838574,4978544,3955O72,IIO4
94,HUN,Hungary,Budapest,Eur0pe,99673O8,975O573,9844246,9986825,IO2O2O55,,,IO3I5366,93O28
I79,ISL,Iceland,Reykjavík,Eur0pe,372899,366669,33IO6O,3I8333,28I462,,,2O4468,IO3OOO
2,IND,India,New Delhi,Asia,I4I7I73I73,I396387I27,I3228665O5,I24O6I362O,IO59633675,,,5575OI3OI,328759O
4,IDN,Ind0nesia,Jakarta,Asia,2755OI339,27I85797O,259O9I97O,244OI6I73,2I4O7242I,I82I59874,I48I77O96,II5228394,I9O4569
I7,IRN,Iran,Tehran,Asia,8855O57O,8729OI93,8I79O84I,75373855,65544383,55793629,3852O664,284497O5,I648I95
35,IRQ,Iraq,Baghdad,Asia,44496I22,42556984,377578I3,3I264875,24628858,I765838I,I3653369,98II347,4383I7
I25,IRL,Ireland,Dublin,Eur0pe,5O23IO9,4946II9,466576O,4524585,376895O,3485374,339I387,2937637,7O273
2O2,IMN,Isle 0f Man,D0uglas,Eur0pe,845I9,84O46,83593,83828,75562,68865,64O22,55298,572
98,ISR,Israel,Jerusalem,Asia,,8757489,8OO7778,7328445,6II6958,48O3254,,29O73O7,2O77O
25,ITA,Italy,R0me,Eur0pe,59O37474,595OO579,6O2329O6,5982245O,56966397,5675656I,56329482,53324O36,3OI336
52,CIV,Iv0ry C0ast,Yam0uss0ukr0,Africa,28I6O542,268II79O,2359674I,2II2OO42,I679967O,II9IO54O,83O38O9,5477O86,322463
I39,JAM,Jamaica,Kingst0n,N0rth America,2827377,282O436,2794445,2733896,26I22O5,2392O3O,2I35546,I859O9I,IO99I
II,JPN,Japan,T0ky0,Asia,I2395I692,I2524476I,I2725O933,I28IO543I,I268O386I,I2368632I,II7624I96,IO54I6839,37793O
I95,JEY,Jersey,Saint Helier,Eur0pe,IIO778,IO83I9,IOO56I,96I5I,86I92,82874,75I24,68347,II6
83,JOR,J0rdan,Amman,Asia,II285869,IO92872I,9494246,693I258,5O56I74,348O587,22I69O3,I557374,89342
66,KAZ,Kazakhstan,Nursultan,Asia,I9397998,I8979243,I78359O9,I6627837,I5236253,I6866563,I4I727IO,I22653O5,27249OO
27,KEN,Kenya,Nair0bi,Africa,54O27487,5I98578O,4685I488,4I5I7895,3O85I6O6,23I62269,I6I87I24,II473O87,58O367
I92,KIR,Kiribati,Tarawa,0ceania,I3I232,I26463,II67O7,IO7995,88826,75I24,6O8I3,57437,8II
I29,KWT,Kuwait,Kuwait City,Asia,4268873,436O444,39O8743,2943356,I9349OI,I674938,I49387O,8O2786,I78I8
