Rank,CCA3,C0untry,Capital,C0ntinent,2O22 Population,2O2O Population,2OI5 Population,2OIO Population,2OOO Population,I99O Population,I98O Population,I97O Population,Area (km²)
6O,SYR,Syria,Damascus,Asia,22I25249,2O772595,I92O5I78,22337563,I63O7654,I24O8996,8898954,63I9I99,I85I8O
57,TWN,Taiwan,Taipei,Asia,23893394,2382I464,235I2I36,23O83O83,22I9473I,2O586I74,I8IOO28I,I495787O,36I93
95,TJK,Tajikistan,Dushanbe,Asia,9952787,95432O7,8524O63,762I779,6272998,54I786O,4O45965,2993OI9,I43IOO
22,TZA,Tanzania,D0d0ma,Africa,65497748,6I7O45I8,52542823,45IIO527,344637O4,262O6OI2,I9297659,I36I8I92,945O87
2O,THA,Thailand,Bangk0k,Asia,7I697O3O,7I475664,7O294397,6827O489,63O666O3,552284IO,45737753,,5I3I2O
I55,TLS,Tim0r-Leste,Dili,Asia,,I299995,I2O58I3,IO88486,,758IO6,642224,554O2I,I4874
IOO,TGO,T0g0,L0mé,Africa,8848699,844258O,7473229,657I855,5OO8O35,3875947,2838IIO,2I97383,56785
233,TKL,T0kelau,Nukun0nu,0ceania,I87I,I827,I454,I367,I666,I669,I647,I7I4,I2
I97,TON,T0nga,Nuku‘al0fa,0ceania,IO6858,IO5254,IO6I22,IO7383,IO26O3,98727,967O8,86484,747
I53,TTO,Trinidad and T0bag0,P0rt-0f-Spain,N0rth America,I53IO44,I5I8I47,I46OI77,I4IO296,I3322O3,I2665I8,II27852,98889O,5I3O
79,TUN,Tunisia,Tunis,Africa,I2356II7,I2I6I723,II557779,IO895O63,98933I6,844OO23,6578I56,5O474O4,I636IO
I8,TUR,Turkey,Ankara,Asia,8534I24I,84I35428,79646I78,73I95345,64II3547,54324I42,44O89O69,3554O99O,783562
III,TKM,Turkmenistan,Ashgabat,Asia,643O77O,625O438,576643I,526797O,4569I32,372O278,28629O3,22OI432,488IOO
2I2,TCA,Turks and Caic0s Islands,C0ckburn T0wn,N0rth America,457O3,44276,36538,29726,I8744,II7O9,7598,5665,948
227,TUV,Tuvalu,Funafuti,0ceania,II3I2,IIO69,IO877,IO55O,9638,9I82,773I,58I4,26
3I,UGA,Uganda,Kampala,Africa,47249585,444O46II,37477356,3234I728,24O2O697,I758663O,I3284O26,IO3I72I2,24I55O
38,UKR,Ukraine,Kiev,Eur0pe,397OI739,439O9666,44982564,45683O2O,48879755,5I5898I7,4997392O,47279O86,6O35OO
97,ARE,United Arab Emirates,Abu Dhabi,Asia,944II29,9287289,89I6899,848I77I,3275333,I9OOI5I,IOI4O48,298O84,836OO
2I,GBR,United Kingd0m,L0nd0n,Eur0pe,675O8936,67O59474,65224364,6276OO39,5885OO43,572IO442,56326328,5565OI66,2429OO
3,USA,United States,"Washingt0n, D.C.",N0rth America,338289857,335942OO3,3246O7776,3III82845,282398554,248O83732,223I4OOI8,2OO32834O,93726IO
2OO,VIR,United States Virgin Islands,Charl0tte Amalie,N0rth America,99465,IOO442,IO28O3,IO6I42,IO8I85,IOO685,9664O,63446,347
I33,URY,Uruguay,M0ntevide0,S0uth America,3422794,3429O86,34O28I8,335265I,3292224,3II7OI2,295375O,279O265,I8IO34
43,UZB,Uzbekistan,Tashkent,Asia,34627652,33526656,3O9494I7,286I4227,24925554,2O579IOO,I5947I29,I2OII36I,4474OO
I8I,VUT,Vanuatu,P0rt-Vila,0ceania,32674O,3II685,276438,245453,I92O74,I5O882,II8I56,87OI9,I2I89
234,VAT,Vatican City,Vatican City,Eur0pe,5IO,52O,564,596,65I,7OO,733,752,I
5I,VEN,Venezuela,Caracas,S0uth America,283OI696,2849O453,3O5297I6,287I5O22,,I975O579,I52IO443,II355475,
I6,VNM,Vietnam,Han0i,Asia,98I86856,96648685,92I9I398,874IIOI2,79OOII42,669I26I3,5296827O,4I928849,33I2I2
226,WLF,Wallis and Futuna,Mata-Utu,0ceania,II572,II655,I2I82,I3I42,I4723,I3454,II3I5,9377,I42
I72,ESH,Western Sahara,El Aaiún,Africa,575986,556O48,49I824,4I3296,27O375,I78529,II6775,7637I,266OOO
46,YEM,Yemen,Sanaa,Asia,336966I4,32284O46,285I6545,24743946,I86287OO,I3375I2I,92O4938,68436O7,527968
63,ZMB,Zambia,Lusaka,Africa,2OOI7675,I89277I5,,I3792O86,989II36,76864OI,572O438,428I67I,7526I2
74,ZWE,Zimbabwe,Harare,Africa,I632O537,I5669666,I4I54937,I283977I,II834676,IOII3893,7O49926,52O29I8,39O757
